,Layout,Rent,Address,CleanAddress,Space,Pricing,Location
136,2 bds,8575,"Aalto57 | 1065 2nd Ave, New York, NY"," 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds ","$6,132+ 1 bd","('40.7588375', '-73.96575737500001')"
137,3 bds,9971,"Aalto57 | 1065 2nd Ave, New York, NY"," 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds ","$6,132+ 1 bd","('40.7588375', '-73.96575737500001')"
138,Studio,4165,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
139,1 bd,5480,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
140,2 bds,8515,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
141,3 bds,13000,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
142,Studio,4671,"The Dylan | 309 5th Ave, New York, NY"," 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds ","$4,671+ Studio","('40.672961400000005', '-73.98285601652276')"
143,1 bd,5513,"The Dylan | 309 5th Ave, New York, NY"," 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds ","$4,671+ Studio","('40.672961400000005', '-73.98285601652276')"
144,2 bds,8454,"The Dylan | 309 5th Ave, New York, NY"," 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds ","$4,671+ Studio","('40.672961400000005', '-73.98285601652276')"
145,Studio,2450,"The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY"," 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds ","$2,450+ Studio","('40.587919908163265', '-73.79775286734694')"
146,2 bds,4200,"The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY"," 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds ","$2,450+ Studio","('40.587919908163265', '-73.79775286734694')"
147,Studio,3664,"Sven LIC | 29-59 Northern Blvd, Long Island City, NY"," 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds ","$3,664+ Studio","('40.7625685', '-73.8045805')"
148,1 bd,4000,"Sven LIC | 29-59 Northern Blvd, Long Island City, NY"," 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds ","$3,664+ Studio","('40.7625685', '-73.8045805')"
149,2 bds,5630,"Sven LIC | 29-59 Northern Blvd, Long Island City, NY"," 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds ","$3,664+ Studio","('40.7625685', '-73.8045805')"
150,3 bds,7108,"Sven LIC | 29-59 Northern Blvd, Long Island City, NY"," 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds ","$3,664+ Studio","('40.7625685', '-73.8045805')"
151,Studio,3470,"One Blue Slip | 1 Blue Slip, Brooklyn, NY"," 1 Blue Slip, Brooklyn, NY","$3,940+ 1 bd$6,075+ 2 bds ","$3,470+ Studio","('40.736772450000004', '-73.9591308092516')"
152,1 bd,3940,"One Blue Slip | 1 Blue Slip, Brooklyn, NY"," 1 Blue Slip, Brooklyn, NY","$3,940+ 1 bd$6,075+ 2 bds ","$3,470+ Studio","('40.736772450000004', '-73.9591308092516')"
153,2 bds,6075,"One Blue Slip | 1 Blue Slip, Brooklyn, NY"," 1 Blue Slip, Brooklyn, NY","$3,940+ 1 bd$6,075+ 2 bds ","$3,470+ Studio","('40.736772450000004', '-73.9591308092516')"
154,Studio,3210,"Avalon Riverview | 475 48th Ave, Long Island City, NY"," 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds ","$3,210+ Studio","('40.7435831', '-73.9508987')"
155,1 bd,4020,"Avalon Riverview | 475 48th Ave, Long Island City, NY"," 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds ","$3,210+ Studio","('40.7435831', '-73.9508987')"
156,2 bds,5685,"Avalon Riverview | 475 48th Ave, Long Island City, NY"," 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds ","$3,210+ Studio","('40.7435831', '-73.9508987')"
157,3 bds,7102,"Avalon Riverview | 475 48th Ave, Long Island City, NY"," 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds ","$3,210+ Studio","('40.7435831', '-73.9508987')"
158,Studio,3673,"Henry Hall | 515 W 38th St, New York, NY"," 515 W 38th St, New York, NY","$5,121+ 1 bd$7,326+ 2 bds ","$3,673+ Studio","('40.757497692307695', '-73.99797507692308')"
159,1 bd,5121,"Henry Hall | 515 W 38th St, New York, NY"," 515 W 38th St, New York, NY","$5,121+ 1 bd$7,326+ 2 bds ","$3,673+ Studio","('40.757497692307695', '-73.99797507692308')"
160,2 bds,7326,"Henry Hall | 515 W 38th St, New York, NY"," 515 W 38th St, New York, NY","$5,121+ 1 bd$7,326+ 2 bds ","$3,673+ Studio","('40.757497692307695', '-73.99797507692308')"
161,Studio,4207,"The Capitol | 776 6th Ave, New York, NY"," 776 6th Ave, New York, NY","$4,975+ 1 bd$7,871+ 2 bds ","$4,207+ Studio","('42.781279', '-73.6687145')"
162,1 bd,4975,"The Capitol | 776 6th Ave, New York, NY"," 776 6th Ave, New York, NY","$4,975+ 1 bd$7,871+ 2 bds ","$4,207+ Studio","('42.781279', '-73.6687145')"
163,2 bds,7871,"The Capitol | 776 6th Ave, New York, NY"," 776 6th Ave, New York, NY","$4,975+ 1 bd$7,871+ 2 bds ","$4,207+ Studio","('42.781279', '-73.6687145')"
164,1 bd,6132,"Aalto57 | 1065 2nd Ave, New York, NY"," 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds ","$6,132+ 1 bd","('40.7588375', '-73.96575737500001')"
165,2 bds,8575,"Aalto57 | 1065 2nd Ave, New York, NY"," 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds ","$6,132+ 1 bd","('40.7588375', '-73.96575737500001')"
166,3 bds,9971,"Aalto57 | 1065 2nd Ave, New York, NY"," 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds ","$6,132+ 1 bd","('40.7588375', '-73.96575737500001')"
167,Studio,4165,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
168,1 bd,5480,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
169,2 bds,8515,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
170,3 bds,13000,"60 Riverside Blvd, New York, NY","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds ","$4,165+ Studio","('40.7742239', '-73.9905028')"
171,Studio,4671,"The Dylan | 309 5th Ave, New York, NY"," 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds ","$4,671+ Studio","('40.672961400000005', '-73.98285601652276')"
172,1 bd,5513,"The Dylan | 309 5th Ave, New York, NY"," 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds ","$4,671+ Studio","('40.672961400000005', '-73.98285601652276')"
173,2 bds,8454,"The Dylan | 309 5th Ave, New York, NY"," 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds ","$4,671+ Studio","('40.672961400000005', '-73.98285601652276')"
174,Studio,2450,"The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY"," 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds ","$2,450+ Studio","('40.587919908163265', '-73.79775286734694')"
175,2 bds,4200,"The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY"," 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds ","$2,450+ Studio","('40.587919908163265', '-73.79775286734694')"
